Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
ALTRO;ALTRO;ALTRO;Italian 3rd defense line trenches;2013;2013-10-27T08:09:34Z;2510073599;13.6609604;46.1854766
ALTRO;ALTRO;ALTRO;Kleiner Pal Rechter Flügel;2011;2011-10-22T20:17:16Z;1476948002;12.9521608;46.6040806999999ALTRO;ALTRO;ALTRO;Kleiner Pal Rechter Flügel;2011;2011-10-22T20:17:16Z;1476948002;12.9521608;
ALTRO;ALTRO;ALTRO;Maschinengewehrnase;2011;2011-11-01T14:29:37Z;1488558652;12.9483986;46.6078177999999
ALTRO;ALTRO;ALTRO;Sabotin - so?ka fronta;2015;2015-08-02T11:18:35Z;3069882115;13.6314665;45.990777
ALTRO;ALTRO;ALTRO;Schützengräben Köderköpfe;2013;2013-04-29T15:19:29Z;2281243415;13.0200394;46.6104863999999
VOLVERA;CITTA' METROPOLITANA DI TORINO;Piemonte;Battaglia della Marsaglia;2010;2010-11-24T12:22:35Z;1002343834;7.5030048;44.9734525
ALESSANDRIA;ALESSANDRIA;Piemonte;Museo della Battaglia di Marengo;2011;2011-08-01T21:44:37Z;1382267781;8.6692364;44.8947920999999
COGOLETO;CITTA' METROPOLITANA DI GENOVA;Liguria;Trincee tedesche;2015;2015-10-13T15:07:38Z;2905085949;8.6579543;44.3931437
PORTO CERESIO;VARESE;Lombardia;Linea cadorna;2011;2011-04-29T12:43:27Z;1264898933;8.913587;45.8987737
MELEGNANO;CITTA' METROPOLITANA DI MILANO;Lombardia;Il Portone della Battaglia di Marignano;2014;2014-12-22T11:56:11Z;1822710535;9.3234707;45.3570022999999
MAGASA;BRESCIA;Lombardia;;2010;2010-06-19T14:09:19Z;776341099;10.6002469;45.8020574999999
MAGASA;BRESCIA;Lombardia;;2010;2010-06-19T14:09:19Z;776341099;10.6002469;45.8020574999999
VALVESTINO;BRESCIA;Lombardia;;2010;2010-06-19T12:21:25Z;776149456;10.5604279;45.7744799999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:50Z;3773346891;12.2415825999999;46.6165515
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:50Z;3773346892;12.2415308;46.616553
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:52Z;3773346914;12.2415309;46.6165839
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:52Z;3773346915;12.2415309;46.6165839
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:52Z;3773346917;12.241579399999999;46.6165848999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:58Z;3773347225;12.2415471999999;46.6168561
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:58Z;3773347226;12.2415471999999;46.6168561
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:58Z;3773347227;12.2414954;46.6168576
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:58Z;3773347231;12.2414191;46.6168847
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:58Z;3773347232;12.2414191;46.6168847
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:59Z;3773347235;12.2415493;46.6168917999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:59Z;3773347236;12.2414976;46.6168933
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:59Z;3773347237;12.2413723999999;46.6169001
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:59Z;3773347242;12.2414348;46.6169073
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:47:59Z;3773347243;12.2413881;46.6169227
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347253;12.2413963;46.6171302999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347254;12.2413718;46.6171312999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347255;12.2413718;46.6171312999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347256;12.2413972;46.6171488999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347457;12.2413729999999;46.6171495999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347458;12.2413890999999;46.6171616999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347459;12.2413635;46.6171627
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347460;12.2413635;46.6171627
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347461;12.2413901;46.6171792
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347462;12.2413645;46.6171796
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347463;12.2413645;46.6171798999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347464;12.2410204;46.6174944999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:00Z;3773347465;12.2409874;46.6174964
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:01Z;3773347466;12.2410238;46.6175041999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:01Z;3773347467;12.2410238;46.6175041999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:01Z;3773347468;12.2410137999999;46.6175196
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:01Z;3773347469;12.2409922;46.6175201
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:01Z;3773347470;12.241671;46.6176277
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:01Z;3773347471;12.2417035999999;46.6176298999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:01Z;3773347472;12.2416634;46.6176547
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:01Z;3773347473;12.2416634;46.6176547
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:01Z;3773347474;12.2417005;46.6176555999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347797;12.2441472;46.6233968
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347798;12.2441228;46.6233975
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347799;12.2441228;46.6233975
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347800;12.2441479999999;46.6234109999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347801;12.2441236;46.6234116999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347802;12.2432333999999;46.6242778
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347803;12.2432333999999;46.6242778
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347804;12.243251;46.6242876999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347805;12.2430603;46.6243437999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347806;12.2430339;46.6243444999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347807;12.2430339;46.6243444999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347808;12.2431489;46.6243450999999
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347809;12.2431666;46.6243576
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347810;12.2430613;46.6243606
DOBBIACO;BOLZANO;Trentino-Alto Adige;;2015;2015-10-05T14:48:09Z;3773347811;12.2430349;46.6243613999999
STELVIO;BOLZANO;Trentino-Alto Adige;;2012;2012-05-28T11:08:06Z;1768518472;10.5117522;46.5687234
STELVIO;BOLZANO;Trentino-Alto Adige;;2015;2015-08-28T21:13:26Z;1445586646;10.4543377999999;46.5318147999999
STELVIO;BOLZANO;Trentino-Alto Adige;;2015;2015-08-28T21:13:26Z;1445586646;10.4543377999999;46.5318147999999
STELVIO;BOLZANO;Trentino-Alto Adige;Kleiner Boden;2011;2011-09-25T16:28:21Z;1444745428;10.5107371999999;46.5687981
VALDAORA;BOLZANO;Trentino-Alto Adige;Bunker;2013;2013-03-17T12:31:23Z;2206646004;12.0317114;46.7525462999999
